Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Return on invested capital,EVEBITDA,Sales,Sales growth 5Years,Profit after tax,Profit growth 5Years,Operating profit,NPM last year,Reserves,Debt,Capital work in progress,Inventory,Trade receivables,Total Assets,Cash from operations last year,Free cash flow last year,Free cash flow 3years,Free cash flow 5years,Promoter holding,Pledged percentage,Dividend yield,Change in DII holding 3Years,Change in FII holding 3Years,Return over 1year,Return over 3years,Return over 5years,Return over 7years,Return over 10years,DMA 50,DMA 200
Neuland Labs.,524558,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,11118.40,14264.79,70.37,0.10,14.44,12.44,41.20,1476.84,14.13,202.73,65.99,323.27,13.73,1511.91,157.14,44.55,385.76,315.72,2179.88,317.38,112.08,403.42,450.53,32.68,0.00,0.13,4.59,4.91,79.66,121.87,95.39,48.09,41.02,11971.93,11888.84
Newgen Software,540900,NEWGEN,Computers - Software - Medium / Small,1248.00,17674.83,56.04,0.04,23.01,21.45,39.37,1486.88,17.61,315.24,34.05,376.20,21.20,1376.22,53.48,0.00,0.00,556.68,2045.08,214.98,191.89,579.33,913.63,53.78,0.00,0.32,1.65,3.65,43.65,87.77,78.42,38.85,,1097.00,1100.16
Pennar Industrie,513228,PENIND,Steel - Medium / Small,219.40,2960.73,26.37,0.91,11.78,13.53,11.09,3143.58,7.97,112.31,7.65,293.23,3.11,863.47,851.60,128.41,897.55,463.37,2799.02,224.72,-21.89,288.99,293.00,39.66,2.80,0.00,1.69,3.61,54.33,81.02,71.12,21.66,16.13,189.66,178.13
Persistent Sys,533179,PERSISTENT,Computers - Software - Large,5670.35,88684.27,63.35,0.05,24.83,25.91,40.05,11938.72,27.34,1400.16,33.58,2058.20,11.73,6241.14,310.90,4.18,0.00,1847.80,8736.60,1156.92,963.84,2429.76,3504.78,30.66,0.00,0.45,0.09,4.33,52.97,47.11,84.68,45.22,30.53,5454.33,5325.57
PG Electroplast,533581,PGEL,Electronics - Components,798.85,22635.18,78.72,0.14,14.89,11.87,42.45,4869.53,,287.80,,484.05,5.91,2799.90,384.16,73.62,1316.19,980.39,5120.81,-76.59,-563.80,-711.72,-927.00,49.37,0.00,0.03,16.37,9.46,198.31,122.81,195.09,62.96,52.50,840.87,732.66
Poly Medicure,531768,POLYMED,Healthcare,2352.55,23837.37,70.39,0.07,15.99,12.32,43.62,1669.83,19.45,338.56,28.73,452.84,20.28,2715.00,180.24,89.65,285.57,349.73,3192.45,240.42,-89.23,-146.32,-152.71,62.44,0.00,0.13,8.63,-3.61,31.39,51.81,52.09,39.43,25.89,2407.80,2320.26
Polycab India,542652,POLYCAB,Cables - Power,5984.50,90023.30,44.56,0.02,22.43,24.39,28.24,22408.31,20.47,2019.99,22.02,2960.24,9.13,9674.60,202.43,708.14,3661.30,2596.27,13772.74,1808.53,852.91,2260.29,3313.23,63.05,0.00,0.50,1.77,5.36,-11.07,35.46,54.41,,,5693.26,5957.37
Privi Speci.,530117,PRIVISCL,Chemicals,2347.50,9169.97,49.65,1.04,18.22,12.11,21.64,2101.19,9.68,184.75,9.70,453.51,8.79,1064.37,1142.83,127.47,788.45,394.15,2790.51,281.11,-17.35,103.97,-293.26,74.05,0.00,0.08,-1.70,-0.11,118.48,27.10,44.01,32.97,26.08,1996.48,1727.62
Prudent Corp.,543527,PRUDENT,Finance & Investments,2681.20,11101.98,56.75,0.05,34.05,55.24,37.47,1103.56,36.12,195.65,47.66,262.40,17.73,646.98,30.53,0.00,0.00,144.40,943.65,160.61,142.94,406.24,553.51,55.72,0.00,0.07,,,61.66,73.46,,,,2356.92,2293.95
Radico Khaitan,532497,RADICO,Breweries & Distilleries,2460.95,32933.37,95.41,0.28,13.62,12.29,49.56,4851.15,15.16,345.19,7.07,673.71,7.12,2664.25,750.43,23.46,1076.83,1182.18,4576.22,362.11,189.48,-326.42,-0.59,40.23,0.00,0.12,7.53,-2.33,50.84,44.25,49.27,26.34,39.67,2421.74,2217.49
Raghav Product.,539837,RPEL,Refractories / Intermediates,715.45,3284.78,88.86,0.04,21.01,18.56,59.65,199.65,,36.97,,53.71,18.52,147.80,7.08,2.08,34.64,51.17,231.36,38.68,25.49,23.44,6.13,62.92,0.00,0.06,-0.03,0.18,100.85,83.40,91.39,60.01,,631.66,584.44
RPG LifeScience.,532983,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,2170.80,3590.29,30.35,0.00,26.12,22.43,20.02,653.43,11.71,118.26,29.13,159.65,18.10,517.30,0.00,3.95,92.98,86.76,657.81,77.86,151.30,234.75,325.36,72.95,0.00,0.73,6.13,1.34,47.66,64.18,53.74,29.98,30.37,2165.80,2125.70
Shaily Engineer.,501423,SHAILY,Plastics Products,1843.80,8473.17,90.98,0.34,18.50,14.81,48.43,786.80,,93.12,,176.06,11.84,538.50,188.22,17.36,137.76,171.72,932.62,110.06,37.95,13.60,,43.72,0.00,0.06,0.20,1.28,189.85,70.51,106.30,31.28,37.83,1672.17,1376.48
Shriram Finance,511218,SHRIRAMFIN,Finance & Investments,661.15,124321.59,14.96,4.15,15.76,10.97,11.22,41834.42,20.36,8308.61,27.03,30024.10,19.91,56093.74,234197.25,0.00,0.00,50.82,293722.16,-43651.90,-43902.79,-93082.30,-106239.30,25.40,0.00,1.36,1.35,-0.30,38.26,42.55,42.79,12.53,15.22,642.46,603.23
SJS Enterprises,543387,SJS,Plastics Products,1080.10,3384.28,28.73,0.05,19.19,17.07,16.73,760.49,,117.81,,195.39,15.63,645.85,37.17,6.23,69.47,175.08,874.14,163.01,126.15,261.66,,21.61,4.29,0.18,10.13,11.83,47.18,37.24,,,,989.89,958.71
